date,platform,sum
2014-09-28,ios-app,2505606.00000
2014-10-05,android-app,1641788.00000
2015-09-22,android-app,2126383.00000
2014-10-01,android-app,1629024.00000
2014-12-09,ios-app,3636953.00000
2014-10-26,ios-app,2421592.00000
2014-09-21,android-app,1538746.00000
2015-09-07,ios-app,3174101.00000
2015-02-21,ios-app,2915241.00000
2015-08-03,android-app,2061300.00000
2015-03-06,android-app,2422706.00000
2015-09-15,ios-app,3138692.00000
2015-08-22,ios-app,3092682.00000
2015-05-31,ios-app,3166073.00000
2014-07-12,android-app,1399589.00000
2014-11-28,ios-app,3067595.00000
2014-10-18,ios-app,2477104.00000
2014-12-16,ios-app,3838893.00000
2014-09-02,android-app,1489166.00000
2014-06-28,android-app,1336355.00000
2014-06-17,ios-app,2337959.00000
2015-01-02,ios-app,3982669.00000
2015-07-09,ios-app,2938724.00000
2015-01-11,android-app,3095676.00000
2015-07-13,ios-app,2951245.00000
2015-10-07,android-app,2104494.00000
2015-09-14,android-app,2169542.00000
2014-12-08,ios-app,3619113.00000
2015-04-10,ios-app,3160353.00000
2014-08-07,ios-app,2451427.00000
2015-01-30,android-app,2675137.00000
2014-12-29,ios-app,3956705.00000
2014-09-20,android-app,1529103.00000
2015-08-17,ios-app,3052718.00000
2015-09-24,ios-app,3211594.00000
2014-11-15,ios-app,2608859.00000
2015-05-01,android-app,2304246.00000
2015-09-04,ios-app,3186882.00000
2015-06-23,ios-app,2983777.00000
2015-09-08,android-app,2160031.00000
2015-09-25,ios-app,3236331.00000
2015-05-26,ios-app,3176985.00000
2014-06-09,android-app,1318804.00000
2015-02-27,ios-app,2926921.00000
2015-04-11,android-app,2361472.00000
2014-08-01,android-app,1441180.00000
2015-03-27,android-app,2382673.00000
2014-11-10,android-app,1889248.00000
2015-08-12,android-app,2037585.00000
2014-11-26,android-app,2257741.00000
2014-11-13,ios-app,2547695.00000
2014-10-24,android-app,1789525.00000
2015-09-03,ios-app,3190270.00000
2014-10-17,android-app,1763323.00000
2015-01-24,ios-app,3393689.00000
2015-05-11,ios-app,3150507.00000
2014-08-02,ios-app,2443343.00000
2014-07-01,ios-app,2399100.00000
2014-12-12,android-app,2851881.00000
2015-04-12,ios-app,3153972.00000
2015-02-05,ios-app,3046367.00000
2014-12-04,android-app,2643422.00000
2015-07-19,ios-app,2960107.00000
2015-04-30,ios-app,3042796.00000
2015-05-06,ios-app,3059728.00000
2015-09-21,ios-app,3183253.00000
2015-05-02,android-app,2298354.00000
2014-11-21,android-app,2156201.00000
2015-08-10,ios-app,3002719.00000
2014-07-14,ios-app,2460255.00000
2015-06-12,android-app,2224268.00000
2015-06-19,ios-app,3023189.00000
2015-08-03,ios-app,2980664.00000
2015-08-28,ios-app,3114974.00000
2015-08-27,ios-app,3106889.00000
2015-09-29,android-app,2119165.00000
2014-06-07,android-app,1304831.00000
2014-06-22,ios-app,2365337.00000
2015-05-10,ios-app,3141220.00000
2015-08-08,android-app,2037142.00000
2015-02-23,ios-app,2898864.00000
2015-03-17,ios-app,2988150.00000
2014-09-24,ios-app,2471521.00000
2015-02-01,ios-app,3112524.00000
2014-06-24,android-app,1336144.00000
2015-08-29,ios-app,3163406.00000
2015-03-12,android-app,2412227.00000
2014-11-07,ios-app,2454052.00000
2015-07-14,ios-app,2951954.00000
2015-03-09,ios-app,2954744.00000
2015-09-20,android-app,2132252.00000
2015-01-28,android-app,2711271.00000
2014-10-20,android-app,1761590.00000
2014-08-31,ios-app,2461270.00000
2014-10-13,ios-app,2478450.00000
2015-05-26,android-app,2258434.00000
2014-08-12,android-app,1443982.00000
2015-08-27,android-app,2092612.00000
2015-03-03,android-app,2408037.00000
2015-03-19,ios-app,3003376.00000
2014-10-19,android-app,1755000.00000
2014-08-08,android-app,1486011.00000
2015-04-16,android-app,2350967.00000
2014-10-31,ios-app,2419079.00000
2015-04-10,android-app,2365179.00000
2015-01-20,android-app,2939606.00000
2015-08-25,android-app,2094170.00000
2014-08-11,android-app,1445010.00000
2015-01-16,ios-app,3714562.00000
2015-04-19,android-app,2350083.00000
2014-09-13,android-app,1492509.00000
2015-09-23,ios-app,3201350.00000
2015-03-06,ios-app,2945166.00000
2015-03-28,android-app,2386345.00000
2014-12-22,ios-app,4054518.00000
2014-07-11,ios-app,2429735.00000
2014-11-27,ios-app,2968721.00000
2015-06-29,android-app,2169188.00000
2014-08-20,ios-app,2466101.00000
2014-12-17,ios-app,3880134.00000
2015-05-19,android-app,2261645.00000
2015-07-06,android-app,2136944.00000
2014-09-17,ios-app,2431720.00000
2015-02-22,android-app,2441447.00000
2015-08-02,android-app,2058146.00000
2014-09-07,android-app,1484656.00000
2014-11-14,android-app,1922933.00000
2015-07-20,ios-app,2967710.00000
2015-03-03,ios-app,2929103.00000
2015-02-04,ios-app,3054232.00000
2015-05-28,android-app,2253351.00000
2015-09-01,ios-app,3200485.00000
2015-06-01,android-app,2226271.00000
2015-01-27,android-app,2732589.00000
2014-06-01,android-app,1319296.00000
2014-10-22,ios-app,2453999.00000
2015-03-27,ios-app,3079439.00000
2014-11-22,android-app,2178496.00000
2015-05-07,android-app,2284227.00000
2015-05-17,android-app,2262413.00000
2015-03-24,ios-app,3030233.00000
2015-06-19,android-app,2223504.00000
2014-10-24,ios-app,2450944.00000
2014-06-26,ios-app,2360412.00000
2014-06-12,android-app,1326891.00000
2014-10-31,android-app,1818737.00000
2015-05-29,android-app,2239107.00000
2015-01-09,android-app,3128957.00000
2014-10-19,ios-app,2462581.00000
